"","X2.folds","X5.folds","X10.folds"
"1",119056.902394627,122403.549232633,116490.184112866
"2",124420.061459154,117604.611263596,120718.281560008
"3",130695.710344518,120027.962856076,121057.449511263
"4",124140.77732593,116518.224690221,117152.603460721
"5",115091.480712585,119512.812746377,119415.614607469
"6",124371.370211632,124615.154957107,117822.125275099
"7",122537.126359884,118422.67307979,117921.726413114
"8",130305.647274205,126485.384216084,120747.602317012
"9",130726.888642646,116230.774486968,117082.176655706
"10",124738.731717654,119316.197162521,117057.858144287
"11",120227.955286122,116669.778580709,118081.044722592
"12",121467.457566988,121311.689704194,114520.40219741
"13",121440.867169343,121942.376688286,119280.337365136
"14",133044.683786466,116504.290586067,121717.477705882
"15",125390.691056524,121332.853642981,117981.01417559
"16",121894.738932881,123206.896545193,121490.940799367
"17",123215.484178003,117214.664652528,122994.424653983
"18",124524.527985658,116167.210259937,122816.753288763
"19",123868.642077765,118824.778093226,119760.599049683
"20",133897.512491579,121144.51565564,119944.833693073
"21",112349.873237669,121580.474146299,120674.914661353
"22",122857.373168599,118535.520477034,120268.714714522
"23",122130.199644602,117915.663731666,121151.120943986
"24",130420.568765721,119727.294997514,120839.666718557
"25",129443.57447069,118748.130957592,117598.444238421
"26",127011.641766761,119149.782748959,114860.958851611
"27",129892.774383917,114914.339362815,118976.502642859
"28",117584.178629567,119156.486417688,120005.320253993
"29",123167.153376736,119313.806322361,117634.634313511
"30",125569.298662301,124328.544549808,117002.885480917
